=== Customer Table ===

 Customer ID  Arrival time  Service start time  Service end time  Total time spent  Queue time  Queue length at arrival Server busy status  Server idle time  Dropped
           0      0.000000            0.000000          0.200000               0.2    0.000000                        0           not busy          0.000000    False
           1      0.035010            0.200000          0.400000               0.2    0.164990                        0           not busy          0.000000    False
           2      0.106485            0.400000          0.600000               0.2    0.293515                        1           not busy          0.000000    False
           3      0.293877            0.600000          0.800000               0.2    0.306123                        1           not busy          0.000000    False
           4      0.507141            0.800000          1.000000               0.2    0.292859                        1           not busy          0.000000    False
           5      0.873319            1.000000          1.200000               0.2    0.126681                        0           not busy          0.000000    False
           6      1.039184            1.200000          1.400000               0.2    0.160816                        0           not busy          0.000000    False
           7      1.338912            1.400000          1.600000               0.2    0.061088                        0           not busy          0.000000    False
           8      1.526377            1.600000          1.800000               0.2    0.073623                        0           not busy          0.000000    False
           9      2.005607            2.005607          2.205607               0.2    0.000000                        0           not busy          0.205607    False
          10      2.152374            2.205607          2.405607               0.2    0.053233                        0           not busy          0.205607    False
          11      2.168269            2.405607          2.605607               0.2    0.237338                        1           not busy          0.205607    False
          12      2.223309            2.605607          2.805607               0.2    0.382298                        1           not busy          0.205607    False
          13      3.150238            3.150238          3.350238               0.2    0.000000                        0           not busy          0.550238    False
          14      3.190090            3.350238          3.550238               0.2    0.160148                        0           not busy          0.550238    False
          15      3.484444            3.550238          3.750238               0.2    0.065794                        0           not busy          0.550238    False
          16      3.492072            3.750238          3.950238               0.2    0.258166                        1           not busy          0.550238    False
          17      3.895681            3.950238          4.150238               0.2    0.054557                        0           not busy          0.550238    False
          18      4.136597            4.150238          4.350238               0.2    0.013641                        0           not busy          0.550238    False
          19      4.246796            4.350238          4.550238               0.2    0.103442                        0           not busy          0.550238    False
          20      4.257471            4.550238          4.750238               0.2    0.292767                        1           not busy          0.550238    False
          21      4.409677            4.750238          4.950238               0.2    0.340561                        1           not busy          0.550238    False
          23      4.603224            0.000000          0.000000               0.0    0.000000                        2               busy          0.000000     True
          22      4.477371            4.950238          5.150238               0.2    0.472867                        2           not busy          0.550238    False
          24      4.684895            5.150238          5.350238               0.2    0.465343                        3           not busy          0.550238    False
          25      5.078852            5.350238          5.550238               0.2    0.271386                        2           not busy          0.550238    False
          26      5.381539            5.550238          5.750238               0.2    0.168698                        0           not busy          0.550238    False
          27      5.691630            5.750238          5.950238               0.2    0.058608                        0           not busy          0.550238    False
